Classification,Yield,Trait_value,Stage,Trait,Condition
Elite,214.9383133,0.489869776,Vegetative Stage,NDVI,Heat Stress
Elite,296.8605132,0.567543446,Vegetative Stage,NDVI,Heat Stress
Elite,360.0275722,0.600206003,Vegetative Stage,NDVI,Heat Stress
Elite,235.4395424,0.522545366,Vegetative Stage,NDVI,Heat Stress
Elite,154.4604288,0.502261397,Vegetative Stage,NDVI,Heat Stress
Elite,182.7820549,0.490833266,Vegetative Stage,NDVI,Heat Stress
Elite,273.5387435,0.556746464,Vegetative Stage,NDVI,Heat Stress
Elite,172.8906224,0.499901158,Vegetative Stage,NDVI,Heat Stress
Elite,191.5248744,0.422351529,Vegetative Stage,NDVI,Heat Stress
Elite,250.203849,0.526859432,Vegetative Stage,NDVI,Heat Stress
Elite,141.3551492,0.48235171,Vegetative Stage,NDVI,Heat Stress
Elite,205.9655379,0.543391947,Vegetative Stage,NDVI,Heat Stress
Elite,297.1946515,0.58681329,Vegetative Stage,NDVI,Heat Stress
Elite,290.0434225,0.622510616,Vegetative Stage,NDVI,Heat Stress
Elite,267.5067012,0.510877566,Vegetative Stage,NDVI,Heat Stress
Elite,220.4944116,0.4967284,Vegetative Stage,NDVI,Heat Stress
Elite,330.3883898,0.554524777,Vegetative Stage,NDVI,Heat Stress
Elite,256.7875513,0.502948544,Vegetative Stage,NDVI,Heat Stress
Elite,335.0612428,0.551274847,Vegetative Stage,NDVI,Heat Stress
Elite,308.563719,0.549737373,Vegetative Stage,NDVI,Heat Stress
Elite,339.8533862,0.591089129,Vegetative Stage,NDVI,Heat Stress
Elite,274.4773845,0.55052313,Vegetative Stage,NDVI,Heat Stress
Elite,283.2818885,0.563617346,Vegetative Stage,NDVI,Heat Stress
Elite,323.1745427,0.590709694,Vegetative Stage,NDVI,Heat Stress
Elite,306.4897153,0.570891516,Vegetative Stage,NDVI,Heat Stress
Elite,186.8309005,0.581034476,Vegetative Stage,NDVI,Heat Stress
Elite,186.6696276,0.533860762,Vegetative Stage,NDVI,Heat Stress
Elite,183.2118735,0.518060024,Vegetative Stage,NDVI,Heat Stress
Elite,128.9917431,0.444981881,Vegetative Stage,NDVI,Heat Stress
Elite,139.8633196,0.460393988,Vegetative Stage,NDVI,Heat Stress
Elite,383.5641661,0.561052168,Vegetative Stage,NDVI,Heat Stress
